Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
2,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.3,50,20,50,70,plus,0.65,0.653,0.715,21044.94464492798,0.632,0.634,0.822
2,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.7,50,20,50,70,plus,0.649,0.654,0.701,22027.648664951324,0.631,0.636,0.813
2,andneuron_prod-probsum,2,neuron_weights,0.2,0.3,0.3,50,20,50,70,plus,0.65,0.653,0.715,21169.942617177963,0.632,0.634,0.822
2,andneuron_prod-probsum,2,neuron_weights,0.2,0.3,0.7,50,20,50,70,plus,0.649,0.653,0.715,21053.098604917526,0.632,0.634,0.822
2,andneuron_prod-probsum,2,neuron_weights,0.2,0.7,0.3,50,20,50,70,plus,0.652,0.654,0.708,33112.5802052021,0.622,0.623,0.815
2,andneuron_prod-probsum,2,neuron_weights,0.2,0.7,0.7,50,20,50,70,plus,0.649,0.654,0.701,22033.87680196762,0.631,0.636,0.813
2,orneuron_probsum-prod,2,neuron_weights,0.1,0.3,0.3,50,20,50,70,plus,0.65,0.653,0.715,13612.2112698555,0.633,0.635,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.1,0.3,0.7,50,20,50,70,plus,0.65,0.651,0.715,13890.22427225113,0.631,0.632,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.1,0.7,0.3,50,20,50,70,plus,0.65,0.651,0.715,14073.453988075256,0.631,0.632,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.1,0.7,0.7,50,20,50,70,plus,0.651,0.652,0.715,14023.84212422371,0.632,0.632,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.2,0.3,0.3,50,20,50,70,plus,0.65,0.651,0.715,13934.7509059906,0.631,0.632,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.2,0.3,0.7,50,20,50,70,plus,0.65,0.651,0.715,13876.484792232513,0.631,0.632,0.822
2,orneuron_probsum-prod,2,neuron_weights,0.2,0.7,0.3,50,20,50,70,plus,0.651,0.652,0.708,14814.90862607956,0.629,0.63,0.817
2,orneuron_probsum-prod,2,neuron_weights,0.2,0.7,0.7,50,20,50,70,plus,0.65,0.652,0.715,15550.882826089859,0.632,0.633,0.822
