Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
2,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.682,1183.5028042793274
2,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.753,0.754,0.685,1080.9897425174713
2,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.755,0.754,0.698,1084.5111949443817
2,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.75,0.754,0.672,1079.6830394268036
3,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.751,0.761,0.689,2974.8425645828247
3,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.76,0.754,0.689,1538.5299139022827
3,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.75,0.746,0.672,1536.5990076065063
3,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.757,0.754,0.685,1540.28311252594
3,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.753,0.746,0.685,1528.239984035492
3,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.75,0.761,0.682,2535.192515850067
3,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.748,0.754,0.698,1604.629686832428
3,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.755,0.761,0.689,2176.664163827896
3,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.685,1278.112310886383
3,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.754,0.675,1133.97416305542
3,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.746,0.754,0.669,1079.9727177619934
3,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.76,0.754,0.675,1080.1523706912994
3,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.689,1379.9982540607452
3,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.755,0.746,0.689,1635.2197153568268
3,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.754,0.679,1588.455349445343
3,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.751,0.746,0.682,1084.23126912117
4,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.755,0.761,0.682,1600.0960669517517
4,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.758,0.761,0.689,2966.713987350464
4,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.753,0.754,0.666,1599.2812983989716
4,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.755,0.761,0.692,1821.6110484600067
4,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.746,0.675,1528.0563097000122
4,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.746,0.761,0.682,1669.2753098011017
4,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.744,0.768,0.682,2603.838775396347
4,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.746,0.695,1752.143724679947
4,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.743,0.761,0.669,1182.3905096054077
4,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.748,0.746,0.679,1131.8369770050049
