Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
2,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.951,0.676,0.662,1976.9240198135376
2,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.951,0.676,0.675,1966.155746459961
2,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.935,0.648,0.636,2237.833735227585
2,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.949,0.667,0.684,1978.9883513450623
3,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.939,0.694,0.688,2259.5172164440155
3,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.949,0.685,0.654,2259.557742834091
3,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.62,0.623,2272.3901178836823
3,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.944,0.63,0.675,2465.979129076004
3,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.939,0.657,0.701,2255.299721956253
3,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.942,0.648,0.667,2259.3617963790894
3,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.942,0.667,0.667,2781.172077894211
3,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.949,0.667,0.658,2264.744238615036
3,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.953,0.722,0.714,1808.92427444458
3,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.956,0.741,0.636,1815.943651676178
3,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.949,0.667,0.693,1809.6280450820923
3,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.949,0.667,0.675,1816.0928943157196
3,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.946,0.731,0.688,1878.8687782287598
3,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.944,0.713,0.662,1810.016125202179
3,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.944,0.722,0.714,1991.136307477951
